"root","link","channel","lastChecked","liveliness","id","country","mbps","format","status","URI","URI_1"
1,"http://gold.euromediaserver.com:80/bahri2020/bahri2020/59482?checkedby:iptvcat.com","Sky Sport News","2020-11-10T00:00:00Z","23","635436","united kingdom","7004","fhd 2k","offline",1,"united kingdom"
1,"http://gold.euromediaserver.com:80/bahri2020/bahri2020/59482?checkedby:iptvcat.com","Sky Sport News","2020-11-10T00:00:00Z","23","635436","united kingdom","7004","fhd 2k","offline",2,"europe"
1,"http://gold.euromediaserver.com:80/bahri2020/bahri2020/59482?checkedby:iptvcat.com","Sky Sport News","2020-11-10T00:00:00Z","23","635436","united kingdom","7004","fhd 2k","offline",3,"united_kingdom"
1,"http://gold.euromediaserver.com:80/bahri2020/bahri2020/59482?checkedby:iptvcat.com","Sky Sport News","2020-11-10T00:00:00Z","23","635436","united kingdom","7004","fhd 2k","offline",4,"sport"
2,"http://gold.euromediaserver.com:80/bahri2020/bahri2020/59487?checkedby:iptvcat.com","Sky Sports Action","2020-11-10T00:00:00Z","21","635437","united kingdom","3188","hd","offline",1,"united kingdom"
2,"http://gold.euromediaserver.com:80/bahri2020/bahri2020/59487?checkedby:iptvcat.com","Sky Sports Action","2020-11-10T00:00:00Z","21","635437","united kingdom","3188","hd","offline",2,"europe"
2,"http://gold.euromediaserver.com:80/bahri2020/bahri2020/59487?checkedby:iptvcat.com","Sky Sports Action","2020-11-10T00:00:00Z","21","635437","united kingdom","3188","hd","offline",3,"united_kingdom"
2,"http://gold.euromediaserver.com:80/bahri2020/bahri2020/59487?checkedby:iptvcat.com","Sky Sports Action","2020-11-10T00:00:00Z","21","635437","united kingdom","3188","hd","offline",4,"sport"
3,"http://gold.euromediaserver.com:80/bahri2020/bahri2020/59490?checkedby:iptvcat.com","Sky Sports Main Event","2020-11-10T00:00:00Z","23","635438","united kingdom","7004","fhd 2k","offline",1,"united kingdom"
3,"http://gold.euromediaserver.com:80/bahri2020/bahri2020/59490?checkedby:iptvcat.com","Sky Sports Main Event","2020-11-10T00:00:00Z","23","635438","united kingdom","7004","fhd 2k","offline",2,"europe"
3,"http://gold.euromediaserver.com:80/bahri2020/bahri2020/59490?checkedby:iptvcat.com","Sky Sports Main Event","2020-11-10T00:00:00Z","23","635438","united kingdom","7004","fhd 2k","offline",3,"united_kingdom"
3,"http://gold.euromediaserver.com:80/bahri2020/bahri2020/59490?checkedby:iptvcat.com","Sky Sports Main Event","2020-11-10T00:00:00Z","23","635438","united kingdom","7004","fhd 2k","offline",4,"sport"
4,"http://gold.euromediaserver.com:80/bahri2020/bahri2020/50300?checkedby:iptvcat.com","Sky Sports Mix HD","2020-11-09T00:00:00Z","14","635464","united kingdom","11091","fhd 2k","offline",1,"united kingdom"
4,"http://gold.euromediaserver.com:80/bahri2020/bahri2020/50300?checkedby:iptvcat.com","Sky Sports Mix HD","2020-11-09T00:00:00Z","14","635464","united kingdom","11091","fhd 2k","offline",2,"europe"
4,"http://gold.euromediaserver.com:80/bahri2020/bahri2020/50300?checkedby:iptvcat.com","Sky Sports Mix HD","2020-11-09T00:00:00Z","14","635464","united kingdom","11091","fhd 2k","offline",3,"united_kingdom"
4,"http://gold.euromediaserver.com:80/bahri2020/bahri2020/50300?checkedby:iptvcat.com","Sky Sports Mix HD","2020-11-09T00:00:00Z","14","635464","united kingdom","11091","fhd 2k","offline",4,"sport"
5,"http://tv2iptv.com:8080/ammar/ammar/20139?checkedby:iptvcat.com","Sky_1","2020-11-10T00:00:00Z","21","635410","united kingdom","7004","fhd 2k","offline",1,"united kingdom"
5,"http://tv2iptv.com:8080/ammar/ammar/20139?checkedby:iptvcat.com","Sky_1","2020-11-10T00:00:00Z","21","635410","united kingdom","7004","fhd 2k","offline",2,"europe"
5,"http://tv2iptv.com:8080/ammar/ammar/20139?checkedby:iptvcat.com","Sky_1","2020-11-10T00:00:00Z","21","635410","united kingdom","7004","fhd 2k","offline",3,"united_kingdom"
